"","Entrega de información en medio electrónico","Inexistencia de la información solicitada","Información parcialmente reservada o confidencial","La información está disponible públicamente","La solicitud no corresponde al marco de la Ley ","Negativa por ser reservada o confidencial","No es de competencia de la unidad de enlace","No se dará trámite a la solicitud","Notificación de cambio de tipo de solicitud","Notificación de disponibilidad de información","Notificación de envío","Notificación de pago","Notificación de prórroga","Notificación lugar y fecha de entrega","Requerimiento de información adicional","Respuesta a solicitud de información adicional","Respuesta del solicitante a la notificación de entrega de información con  costo","Respuesta del solicitante a la notificación de entrega de información sin costo","Sin respuesta","SOS"
"PETRÓLEOS MEXICANOS (PEMEX)",1447,205,7,8,7,47,330,1,0,149,142,2,22,41,47,0,51,0,108,"PETRÓLEOS MEXICANOS (PEMEX)"
"PROCURADURÍA GENERAL DE LA REPÚBLICA (PGR)",2637,0,0,2,0,0,0,4,0,0,0,0,27,0,351,14,0,0,119,"PROCURADURÍA GENERAL DE LA REPÚBLICA (PGR)"
"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN (SAGARPA)",3181,2,0,1,106,0,1,0,0,53,13,0,1,14,167,0,18,0,35,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN (SAGARPA)"
"SECRETARÍA DE DESARROLLO SOCIAL",1187,0,0,0,0,0,281,0,0,17,3,0,21,4,45,4,8,0,68,"SECRETARÍA DE DESARROLLO SOCIAL"
"SECRETARÍA DE ECONOMÍA (SE)",1026,5,35,1,0,7,255,0,0,65,10,0,4,16,39,1,14,1,115,"SECRETARÍA DE ECONOMÍA (SE)"
"SECRETARÍA DE EDUCACIÓN PÚBLICA (SEP)",6365,0,0,0,0,3,433,8,0,39,24,0,22,20,479,8,12,0,260,"SECRETARÍA DE EDUCACIÓN PÚBLICA (SEP)"
"SECRETARÍA DE GOBERNACIÓN (SEGOB)",896,14,77,106,110,27,823,1,0,62,15,2,1,19,262,4,27,0,57,"SECRETARÍA DE GOBERNACIÓN (SEGOB)"
"SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO (SHCP)",1633,17,1,58,0,31,793,0,0,70,16,2,1,25,152,3,33,0,83,"SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO (SHCP)"
"SECRETARÍA DE LA FUNCIÓN PÚBLICA (SFP)",3585,44,138,11,1,388,163,0,2,8,10,1,5,29,150,4,13,6,127,"SECRETARÍA DE LA FUNCIÓN PÚBLICA (SFP)"
"SECRETARÍA DE RELACIONES EXTERIORES (SRE)",945,17,2,0,0,92,108,4,0,16,6,0,6,15,50,1,7,0,49,"SECRETARÍA DE RELACIONES EXTERIORES (SRE)"
"SECRETARÍA DE SALUD (SSA)",3401,60,43,10,2,65,488,2,0,115,20,1,15,56,88,1,76,1,428,"SECRETARÍA DE SALUD (SSA)"
"SECRETARÍA DE TURISMO (SECTUR)",423,0,0,1,0,0,33,28,0,0,0,0,0,0,9,0,0,0,22,"SECRETARÍA DE TURISMO (SECTUR)"
